CDS,CDS original script,PoS,ADS,English,Country,Language branch,Group of languages,Language,Area,Source,Year,Comments,Examples,Semantic Domain
hemmwa,,v,,eat (v),Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
ḥenna,,n,ḥenna,grandmother,Algeria,Semitic,Arabic,Arabic (Algerian),Tlemcen,,2024,,,kinship
ḥenna,,n,,"mother, grandmother",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
ḥennas,,n,ḥenna,grandmother,Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,,,"humans, kinship"
ḥennas,,n,ḥenna,grandmother,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,,,"humans, kinship"
herr,,interj,,tickle,Morocco,Semitic,Arabic,Arabic (Moroccan),Taza,,2024,,,"body, game"
ḥəṃṃəṃṃu,,n,tfunast,"cow, moo",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,animals
ḥliba,,n,aġi,milk,Algeria,Semitic,,Arabic (Algerian),"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,BT beġġi < aġi because easier to start with b- than with a vowel,,"food, drink"
ḥṃa,حما,v,,eat? Or prepare the meal,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
ḥriri,,n,taḥrirt,soup,Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,,,food
ḥriri,,n,taḥrirt,soup,Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,,,food
ḥtuta,,n,"nnam; gezza (North); zzeb (vulgar), zzeba (North/Tetouan)",genitals (male),Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane,,2014,,"‘qattaɛ/iqattaɛ ḥtuta dyalek’ ‘he cut/he will cut your ~ = he will circumsize you’ (context: xitan (fusḥa), xtana, ṭ-ṭhara (Darija) ‘circumcision’).
 maturriš ḥtuta dyalek ‘don’t show your ~’","body, body parts"
ḥṭūṭa,,n,zeb,genitals (male),Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,euphemism: bessa (pipi),,"body, body part"
ḥū,,adj,,cold,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
ħū (ḥū),,adj. ,,cold,Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,quality
ḥuba (ḫuba?),,prep,ẓúṭ,above,Libya,Amazigh (Berber),,Awjila,Awjila,,2013,,,"space, spatial relations"
ḥuḥḥu,,n,"ašffay (Midar, Ayt Tuzin);
 ašffay n porbo ‘milk powder’; aġi 'milk' (Iqeraiyen), aġi asemmam 'butter-milk'","milk, butter-milk",Morocco,Amazigh (Berber),,Tarifiyt,"Ayt Said, Iqeraiyen",,2014-5,,ɛenna ḥuḥḥu ‘eat/drink milk!’,"food, drink"
ḥuppa ɛannegni,,"n, v",,"embrace, hug",Morocco,Semitic,Arabic,Arabic (Moroccan),Taourirt,,2024,,,"body, action"
ḥuš,,v,,sleep,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,cf. Bynon No 53.,,
huuuu,,interj,,(no transl.) ~ smth said to babies,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,"No translation: ""les nourrissons on leur dit ""huuu"" mais je suis incapable de trouver
 une traduction""","""a huuuu, a t bahed""...","interjection, baby"
huuuu,,interj,,(no transl.) ~ smth said to babies,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,"No translation: ""les nourrissons on leur dit ""huuu"" mais je suis incapable de trouver
 une traduction""","""a huuuu, a t bahed""...","interjection, baby"
hwwha,هوّها,v,,sleep,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
i-bah ((i)bbaḥ),,v,,nice: it's nice,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,"quality, positive"
i-bbuḥ,,"v, adj","i-ṣḇaḥ 'it's tasty, nice', mezyan 'good'","tasty, delicious, nice, good",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","Conjugated: 3MS i-bbuḥ, 3FS a-bbuḥ, 3P bbuḥ-en",,"food, quality"
i-bbuḥ,,"v, adj",,"tasty, delicious, nice, good",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Shared with the local Berber,,quality
i-kah,,v:conj,,bad: it's bad,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,"quality, negative"
i-kah,,v:conj,,bad: it's bad,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,"quality, negative"
ibbaḥ,,v:conj,iziḓ ‘it is tasty’,"tasty, nice, sweet",Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,Conjugated; not used in Midar (Ayt Tuzin); cf. ibbuḥ in Ketama Berber.,,quality
ibbaḥ,,"v, interj","iššay, uḏ iššay 'there is nothing', walu","gone, finished; I don't have it (any more)",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,Ketama ibbaḥ (with i-) vs. Riff bbaḥ,,"action, interjection, quality, game"
ibbuḥ,,v,"iḥiyya, iḥlu, izil (iziḷ?); yatfut (Rashidia)","tasty, nice",Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,,,,"food, quality"
ibbuḥ,,v,"iḥiyya, iḥlu, izil (iziḷ?)","tasty, nice",Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,,,,quality
ibeɛɛšen,,n,"udži, aḥuři/išarri",sheep,Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"In Midar, ibeɛɛašen (not used in Iqeraiyen) is used between the age of 5 to 13 (""children talk""); BT is baɛɛ; adult speech: aḥuři/išarri.",,animals
ibššišn,,"n, v",ibššišn,"to pee, pee",Morocco,Amazigh (Berber),,Tamazight,Ait Sadden,,2014,BT=adult. ibššišn: not used in Ourzaate (Tashelhit).,,"body, bodily function, action, taboo"
imbū,,"n, v",,"water, to drink",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Woidich 2006,2006,German 'trinken',,"food, drink"
imbū,,"n, v",,"water, to drink",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Woidich 2006,2006,German 'trinken',,"food, drink"
immaḥ,,"n, v, adj, interj","ṯimssi ‘fire’,
 iḥma ‘it is hot’","hot, fire, warning",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,"aḥḥ immaḥ ‘watch out, it’s hot’.",,"warning, negative, quality"
immi,,n,?,mother,Morocco,Amazigh (Berber),,Tashelhit,Tarudant,,2015,,,"humans, kinship"
incy-wincy,,adj,tiny,tiny,"USA, UK",Germanic,,English,UK,,2024,"reduplication/rhyming pair involving the sound /w/. Kitty-witty, Doggy-woggy, Teeny-weeny",,
inna,,n,,mother,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,,,"humans, kinship"
itnaġa,إيتناغا,v,,"bable, babling",Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
itty bitty,,adj,little,little,"USA, UK",Germanic,,English,,Ferguson 1964,1964,,,
ixxi,,"adj, adv, interj",,"bad (everything negative), shame on you",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,,2015,Opposite of bravo/brawa,,"quality, negative, warning"
ixxi,,"adj, adv, interj",,"bad (everything negative), shame on you",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,,2015,Opposite of bravo/brawa,,"quality, negative, warning"
jaa'u (žaaɛu?),,n,,milk,Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,,,"food, drink"
jojoa,jojoa,v,kojoa,urinate,Tanzania,Eastern Bantu,,Swahili,Tanzania,,2024,"replacing of the syllable ""ko"", due to inability to pronounce.",,
jokkebrok,,n,leugenaar,liar,Netherlands,Germanic,,Dutch,,,2024,"Jokken is a verb, which means to lie. But Jokken can also be a noun, less usual. Brok is a noun that means ""a piede"". Jokkebrok is a noun, in which sounds nice to children because it rhymes.","Dat heb je wel gedaan, jokkebrok!",conversation
jottem,,interj,deksels,no equivalent,Netherlands,Germanic,,Dutch,,,2024,Jottem is not very much used. It is an expression of disbelief regarding an unpleasent situation.,Wat een bende. Jottem,actions
kaɛɛ ,,"n, adj, interj, v:imp, interj",,"dirt, dirty (stop, leave)",Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,"quality, warning, action, negative"
kaɛɛo,,"n, v",,"to poo, poop (defecation)",Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,"body, bodily functions, action"
kaɛɛo,,n,,poop,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
kaġu mummu,,interj,(no transl.),eat: said to the baby to make it eat? Or ironic usage to make fun of smb.,Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane,,2014,"kaġu ~ ‘eat’? 1) Mom says it to the baby when it has to eat? 2) ironic, making fun of smb by using baby talk",,"game, action"
kak(k)a,,n,tḥalkút (or tḥəlkút),bread,Libya,Amazigh (Berber),,Awjila,Awjila,,2013,,,food
kaka,,"n, v","ixxan (pl.tant., no SG), ssexser (<Ar.) CAUS v. 'to poo',","poop (n, v); everything dirty",Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,,"new/modern, Arabic=Berber",,bodily function
kaka,,"n, v",,"poop (n, v)",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,modern/new,,"body, bodily function, action, taboo"
kaka,կակա,n,,"bonbon, sweet",Armenia,Armenian,,Armenian,,,2024,,,
kaka,,"n, v",asexser,"poop (n, v)",Morocco,Amazigh (Berber),,Tashelhit,Ouarzazate,,2014,,,"body, bodily function, action, taboo"
kaka,kaka,n,heces,poo,Paraguay,Tupi-Guarani,,Guarani,,,2024,,,
kaka,кака,n,,poo,Russia,Slavic,,Russian,,,2024,,,
kaka,caca,n,"heces, excremento",poop,Spain,Romance,,Spanish,"Spain, Galicia",,2024,,,
kaka,caca,n,"heces, excremento",poop,"Spain, Ecuador",Romance,,Spanish,"Spain, Galicia, Navarra, Ecuador",,2024,,,
"kaka, kakka",,"n, v","xreya, xarya, xra","poop (n, v)",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca,Tetouane",,2014,,"dir kaka! 
 sir ddir kaka! 
 (*sir kaka)","body, bodily functions, action"
"kaka, kakka",,n,,poop,Algeria,Semitic,Arabic,Arabic (Algerian),,,2024,Not Berber,,bodily functions
"kaka, kakka",,n,,poop,Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,Not Berber,,bodily functions
"kaka, kakka",,n,,poop,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,bodily functions
kakaḥ,,"n, v",,"poop (v), (pee?)",Morocco,Amazigh (Berber),Senhaja,Mezduy,Ayt Mezduy,,2015,,,"body, bodily function, action"
käkäy,кәкәй,adj,"bad, ugly, naughty","If a child gets naughty parents say ""What a naughty (käkäy) boy!""",Kazakhstan,Turkic,,Kazakh,South,,2024,,,
kakka,,n,ṭaṛ 'foot',foot (homonym: poop),Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,homonymy,,"body, body parts"
kakka,,"n, v",ṭaṛ 'foot',poop (homonym: foot),Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,homonymy,,"body, bodily function"
kakka,,n,taḥlawt ,"sweet(s), candy",Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,food
kakka,,n,,poop,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
kakka,,"adj, n",wā yeḥri,dirty,Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,,,"quality, negative, warning"
"kakka, popo",,"n, v",,"poo, poop",Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane/Ceuta,,2024,,,bodily functions
"kakka, qaqqa",,n,fanid,"sugar, sweet(s), cake(s), candy",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in Ourzazate,,food
kakka(ḥ),,"adj, n",,"dirty, poop",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,,,"quality, negative, warning"
kakkla? kaklal? kaka?,,"n, v, adj",,"dirt, dirty",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,The usual BT term for 'dirty' in Morocco and Algeria is xixxi.,,"warning, negative, quality"
"keɛɛuša, keɛku",,n,,"cock, rooster; hen",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"animals, birds"
keɛka,,"n, v",,"poop (v, n)",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, bodily functions"
keffa,,n,,clapping,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,"DIM. kfifa. PL -at, kfuf",,"action, game"
"keffa, kfifa, bravo, šṭeḥa",,"interj, v",keffef,"bravo, clap",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"action, game, positive"
kefti,,n,,name given to kefta (minced meat) in children's game,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,From adult speech,,"food, game"
"kekɛu, kekɛuš, keɛɛuša",,n,,"cock, rooster; hen",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,animals
"kekɛu, kekɛuš, keɛɛuša",,n,"dik, džaža","rooster, hen, chicken, poultry",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"animals, birds"
"kekka, qeqqa, kakka",,n,,"sweets, pastries",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,n. coll.,,food
"kex, Ha (ḥa?)",,interj,,"stop, leave, dirty, it will hurt you, it is bad",Libya,Amazigh (Berber),,Zwara,,,2014,,,
"kexx, exx, ixx(a)",,"v, interj",hda/ ḥbes! zga!,"stop, leave, dirty, it is bad",Morocco,Semitic,Arabic,Arabic (Moroccan),Casablanca,,2014,"you say kexx when the child eats smth not good/suitable for eating, ‘don’t take it, it is dirty’ (e.g. if the child dropped some food on the floor and wants to eat it)",,"quality, warning, negative"
"kexx, kexxa",,interj,,"dirt, dirty, leave it",Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,warning
"kexx, kexxa",,interj,,"dirt, dirty, leave it",Algeria,Semitic,Arabic,Arabic (Algerian),,,2024,,,warning
"kexx, kexxa",,interj,,"dirt, dirty, leave it",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,warning
"kexx, kexxa",,"interj, n, v",,"dirt, dirty, leave that, poop, do not touch!",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"action, warning, bodily functions"
"kexx, koxx, kuxx, kexxa, koxxa",,"adj, adv, interj",,"dirty, ugh, prevention from anything dirty, filthy",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Širbini 1665; Woidich 2006,1665; 2006; 2015,German: pfui. Cf. ixxí 'bad',,"quality, negative, warning"
"kexx, koxx, kuxx, kexxa, koxxa",,"adj, adv, interj",,"dirty, ugh, prevention from anything dirty, filthy",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Širbini 1665; Woidich 2006,1665; 2006; 2015,German: pfui. Cf. ixxí 'bad',,"quality, negative, warning"
"kexx, kxxa",,interj,,dirty; shit; stop doing it!,Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"warning, negative, action"
"kexx, kxxa",,"adj, n, v",,dirty; shit; stop doing it!,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,,,"warning, negative, action"
"kexxa, kxx, xēxe, xiya",,"adj, n",mwussex,"dirty, also euphemism for 'poop'",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Cf. Berber adult xxa, BT xixxi, xxi.",,"quality, warning, negative"
kezzu,,n,"ḥerraz, aherḏan (Ayt Bounsar, Ayt Ahmed, Ayt Bushibet);
 aqzzun ‘puppy’",dog,Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2024","kezzu is from ADS aqzzun 'puppu' with a phonetic change q > k. Specific to Ketama Berber. Not used in Ketama Darija (they use hawhaw). hawhaw (onomatopoeia), a common BT term for 'dog' in Morocco, is not used as BT in Ketama. As elsewhere, it can be used to imitate the sound of the dog. ",,animals
kəxx,,interj,,"stop, leave, dirty, it is bad",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"quality, negative, warning"
kɛikkɛu (qɛiqqɛu?),,n,ayaziḍ,cock,Algeria,Amazigh (Berber),,Kabyle,At Aysi,,2000,,,"animals, birds"
kɛikkɛu (qɛiqqɛu?),,n,ayaziḍ,cock,Algeria,Amazigh (Berber),,Kabyle,At Aysi,,2000,,,"animals, birds"
kfifa,,n,,clapping,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,DIM of keffa,,"action, game"
"kfuta, akeffut",,n,"axna, axžun",buttocks,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2025,,,"body, body part, taboo"
kiele,,v,no equivalent,no equivalent,Netherlands,Germanic,,Dutch,,,2024,Said when one tickles a baby or a child,"Kiele, kiele, kiele",game
kikebu,kiekeboe,interj,no equivalent,"peekaboo, here I am",Netherlands,Germanic,,Dutch,,,2024,,,game
kiki,كيكي,interj,,call to urge the camel go?,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
kiki,,n,,shoes,Libya,Amazigh (Berber),,Zwara,,,2014,,,
kikiriki,,n,,rooster,Spain,Romance,,Spanish,Navarra,,2024,,,
kikkaɛ,,"v, n",,"poop (v, n)",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body function, warning"
kikkiɛ,,"n, v",,poop,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, bodily functions, action"
kikkiḥ,,interj,,bad!,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"quality, interjection, warning, negative"
kisa,киса,n,,kitty,Russia,Slavic,,Russian,,,2024,,,
kitti,,n,"afullus 'cock'; ifullusen PL
 tafullust (F)
 tifullusin PL F","chicken, hen, rooster, poultry",Morocco,Amazigh (Berber),,Tashelhit,Tarudant,,2015,,,"animals, birds"
kitty,,n,"cat, kitten","cat, kitten","USA, UK",Germanic,,English,USA,,2024,,,animals
kitty-witty,,n,cat,cat,"USA, UK",Germanic,,English,UK,,2024,"reduplication/rhyming pair involving the sound /w/. Kitty-witty, Doggy-woggy, Teeny-weeny",,
kiwkiw,,n,ikiyyawn?? ikenbiwi ?? 'sparrows',"bird(s), DIM, sparrow(s)",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in Ourzazate. In parts of Ayt Baamran (according to Abdellah) they use kʷršsa / takʷršsat,,"animals, birds"
kiwkiw,,n,,"chick (little), cf. tiwtiw 'little birds'",Morocco,Amazigh (Berber),,Tashelhit,Taznaxt,,2015,,,"animals, birds"
kiwkiw,,n,,chicks (little),Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,"animals, birds"
kiwkiw,,n,,chicks (little),Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,"animals, birds"
kixx,,interj,,dirty,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
kkh,քխ,n,,dirty thing on the floor,Armenia,Armenian,,Armenian,,,2024,,,
kkim,,v,qqim,sit down,Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,,kkim (from adult qqim with simplification q > k,,action
klikspaan,,n,verrader,liar,Netherlands,Germanic,,Dutch,,,2024,"Used when child tells a secret or an undesired action to another person, by which another person is exposed mostly of bad behaivour.",,conversation
köpüş,köpüş,n,köpek,dog,Turkey,Turkic,,Turkish,,,2024,,,
kriša,,n,kerš,belly,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,"Often, DIM are used in baby-talk.",,"body, body parts"
kriša,,n,kerš,"stomach, belly",Algeria,Semitic,Arabic,Arabic (Algerian),West,,2024,BT=diminutive,,body parts
kuçu kuçu,,n,köpek,dog,Turkey,Turkic,,Turkish,İzmir/Istanbul,,2015,hav hav: onomatopoeia,Gel kuçu kuçu.,animals
kuçu kuçu,,n,köpek,dog,Turkey,Turkic,,Turkish,,,2024,,,
kuɛɛu,,n,tafullust,"chicken, hen",Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,Derived form takuɛɛušt (between babytalk and CDS),,
kuɛɛuš,,n,,rooster,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,"PL ikuɛɛušen, between babytalk and ADS, can be used by adults in family circle/among friends. Cf. kukuɛu 'really BT'.",,
"kuɛkuɛ, kekɛu",,n,,"cock, rooster",Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane/Ceuta,,2024,sound of the rooster > rooster,,"animals, birds"
kuku,cucú,n,monstruo,"monster, boogeyman",Paraguay,Tupi-Guarani,,Guarani,,,2024,"Cf coco in Spainish, ahí viene el coco (monster)",,
kuku,,n,vajina,genitals (female),Turkey,Turkic,,Turkish,İzmir/Istanbul,,2015,,Hani senin kukun?,"body, body part, taboo"
kuku,,n,,"chicken, hen, rooster/cock",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,Cf. Kabyle ququɛu.,,"animals, birds"
kuku,կուկու,n,,doll,Armenia,Armenian,,Armenian,,,2024,,,
kuku,coucou,interj,no equivalent,"peekaboo, here I am",France,Romance,,French,,,2024,,,game
kuku,куку,interj,no equivalent,"peekaboo, here I am",Russia,Slavic,,Russian,,,2024,,,
kuku,,n,"kuku, vajina",vagina,Turkey,Turkic,,Turkish,,,2024,,,
kūku,,n,,bird,Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,"Cf. Morocco (esp. used for poultry: hen, chicken)",,"animals, birds"
kūku,,n,,bird,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
kukuɛɛu,,n,,"chicken, hen, rooster, poultry",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,"also used in Ourzazate; kukuɛɛu is used for ‘rooster’ + ‘poultry’ in general in CDS-1. Cf. term kkʷeršš (animal-directed speech, used to make chicken go away) and derived from it CDS ta-kʷršs-at ‘hen’, ‘chick’. (PL not used: ti-kʷršš-at-in?)",,"animals, birds"
"kukuɛɛu, kukkuɛ",,n,,"cock, cock-a-doodle-doo",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,onomatopoeia,,"animals, birds"
kukuɛɛu(š),,n,"afullus, PL ifullusen, F tafullust; PL tifullusin, ašišaw 'chicken', PL išišawen, DIM/F tašišawt, PL tišišawin","chicken, rooster, etc",Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,Final -š in kukuɛɛu(š) is optional,,"animals, birds"
kukuɛɛu(š),,n,"afullus, F tafullust; ašišaw 'chicken', PL išišawen, DIM/F tašišawt, PL tišišawin","chicken, rooster, etc",Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,sound of these birds = name for these birds; Final -š in kukuɛɛu(š) is optional,,"animals, birds"
kukuɛu,,n,"afullus 'cock'; ifullusen PL
 tafullust (F)
 tifullusin PL F","chicken, hen, rooster, poultry",Morocco,Amazigh (Berber),,Tashelhit,Taznaxt,,2015,also used in Ourzazate,,"animals, birds"
kukuɛu,,n,,"chicken, hen, rooster, etc.; poultry",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,also used in Ourzazate,,"animals, birds"
kukuɛu,,n,,"chicken, hen, rooster, etc.; poultry",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,also used in Ourzazate,,"animals, birds"
kukuɛu,,n,"afullus 'cock'; ifullusen PL
 tafullust (F)
 tifullusin PL F","chicken, hen, rooster, poultry",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,also used in Ourzazate. According to Abdellah (Ayt Baamran): kukuhhu / kukuɛɛu (more recent).,,"animals, birds"
"kukuɛu, ququɛu",,n,"džaža, PL džaž 'hen';
 ferruž = dik, PL frarež =diyaka 'rooster',
 fullus 'small chicken', PL flales, DIM fliles, DIM.PL
 flisat","hen, chicken, rooster, cock; sound that they make",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat",,2014,Onomatopoeia. Birds and the sound that the birds make.,,"animals, birds"
"kukuɛuš, 
 ququɛuš",,n,,"hen, chicken, rooster, cock",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,,2014,Onomatopoeia. Birds and the sound that the birds make.,,"animals, birds"
"kukuk, gukguk","kuck-kuck, guck-guck",interj,no equivalent,"peekaboo, here I am",Germany,Germanic,,German,,,2024,,,game
kukuya,,n,"qemla, l-gmel",lice (insect),Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"animals, insects"
kurr,,n,,"noise, ear",Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
kurr(?),,n,,"ear, noise",Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,"body, body parts"
kutsu,cuţu,n,Caţel,puppy,Romania,Romance,,Romanian,,,2024,,,animal
kwa-kwa,kwakwa,adverb,-,flapping sound of a goose's wing,Tanzania,Eastern Bantu,,Swahili,Tanzania,,2024,onomatopoeic,,
kwakwak,,n,,duck,Spain,Romance,,Spanish,"Spain, Navarra",,2024,,,
kʷršša,,n,,"chicken, hen, poultry",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,"kʷršš (animal-directed speech), used to scare chicken/make them go away. Also ta-kʷršs-at ‘hen’, ‘chick’ (PL not used: ti-kʷršš-at-in?)",,"animals, birds"
kxx,,"interj, n, v",ɛand-ek,"stop, don't touch, attention, danger, dirt, pain",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Synonyms: aḥḥ, diddi, kxx, beɛɛu.",,"warning, negative, action"
kxx,,"v, adj, interj",ɛand-ek,"dirt, dirty (stop, don't touch)",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Synonyms: aḥḥ, diddi, kxx, beɛɛu. Cf. 'poop': ɛaɛɛa, kaɛkaɛ; 'dirty': xēxē, kexxa, xiya.",,"quality, warning"
"kxx, kxxx!",,"n, adj, v, interj","ixx(x) interj. expressing disgust; cf. yaɛ, yaɛɛu, yaɛɛat (interj.), tfu",dirty! stay away! don't eat/touch! (interj. of disgust),Morocco,Amazigh (Berber),,Tarifiyt,"Midar (Ayt Tuzin), Iqeraiyen",,2014-15,expressive; final -x can be prolongued; can be used in combination with xixxi: kxx! xixxi!,,"quality, negative, warning"
kxxa,,"adj, n, v",,dirty; shit; stop doing it!,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Widespread,,"warning, negative, action"
